method,pseudopotential,system,basis,BE,BEerr,SHCIBE
UCCSD,trail,ScO,v5z,0.23413390378999566,0.0,0.25684096089999997
UCCSD(T),trail,ScO,v5z,0.2562266795020278,0.0,0.25684096089999997
UCCSD,trail,TiO,v5z,0.22659742661055304,0.0,0.2544431052000107
UCCSD(T),trail,TiO,v5z,0.2536271204796776,0.0,0.2544431052000107
UCCSD,trail,FeO,v5z,0.12862566522511543,0.0,0.15671194910001418
UCCSD(T),trail,FeO,v5z,0.1541964618545535,0.0,0.15671194910001418
UCCSD,trail,MnO,vtz,0.11502160726350041,0.0,0.13859999999999673
UCCSD(T),trail,MnO,vtz,0.1358649962693903,0.0,0.13859999999999673
UCCSD,trail,MnO,vqz,0.11810429902358521,0.0,0.14297125940001365
UCCSD(T),trail,MnO,vqz,0.13995598883813898,0.0,0.14297125940001365
UCCSD,trail,VO,vqz,0.2089695202165558,0.0,0.24381173599999784
UCCSD(T),trail,VO,vqz,0.24128755641291377,0.0,0.24381173599999784
GF2,trail,ScO,vdz,0.21930000000000405,0.0,0.2419399999999996
GF2,trail,ScO,vtz,0.22789999999999822,0.0,0.2508100000000084
GF2,trail,ScO,vqz,0.23140000000000072,0.0,0.25536381000000574
GF2,trail,TiO,vdz,0.20669999999999789,0.0,0.23945000000000505
GF2,trail,TiO,vtz,0.21479999999999677,0.0,0.24920000000000186
GF2,trail,TiO,vqz,0.21629999999998972,0.0,0.25339785999999265
GF2,trail,VO,vdz,0.19819999999999993,0.0,0.22684999999999889
GF2,trail,VO,vtz,0.20520000000000493,0.0,0.23925999999998737
GF2,trail,VO,vqz,0.21529999999998495,0.0,0.24381173599999784
GF2,trail,CrO,vdz,0.09999999999999432,0.0,0.1650899999999922
GF2,trail,CrO,vtz,0.10210000000000719,0.0,0.17072999999999183
GF2,trail,CrO,vqz,0.10569999999998458,0.0,0.17305600000001675
GF2,trail,MnO,vdz,0.09359999999999502,0.0,0.12700000000000955
GF2,trail,MnO,vtz,0.0992999999999995,0.0,0.13859999999999673
GF2,trail,FeO,vdz,0.08809999999999718,0.0,0.13661999999999352
GF2,trail,FeO,vtz,0.09209999999998786,0.0,0.1512400000000298
GF2,trail,FeO,vqz,0.10209999999997876,0.0,0.155512200000004
GF2,trail,CuO,vdz,,,
GF2,trail,CuO,vtz,,,
GF2,trail,CuO,vqz,,,
SEET(FCI/GF2),trail,ScO,vdz,0.23860000000000525,0.0,0.2419399999999996
SEET(FCI/GF2),trail,ScO,vtz,0.24859999999999616,0.0,0.2508100000000084
SEET(FCI/GF2),trail,ScO,vqz,0.25080000000000524,0.0,0.25536381000000574
SEET(FCI/GF2),trail,TiO,vdz,0.23869999999999436,0.0,0.23945000000000505
SEET(FCI/GF2),trail,TiO,vtz,0.25139999999998963,0.0,0.24920000000000186
SEET(FCI/GF2),trail,TiO,vqz,0.2572499999999991,0.0,0.25339785999999265
SEET(FCI/GF2),trail,VO,vdz,0.2296000000000049,0.0,0.22684999999999889
SEET(FCI/GF2),trail,VO,vtz,0.24429999999999552,0.0,0.23925999999998737
SEET(FCI/GF2),trail,VO,vqz,0.24149999999998784,0.0,0.24381173599999784
SEET(FCI/GF2),trail,CrO,vdz,0.16850000000000875,0.0,0.1650899999999922
SEET(FCI/GF2),trail,CrO,vqz,0.1646999999999963,0.0,0.17305600000001675
SEET(FCI/GF2),trail,FeO,vdz,0.13289999999997804,0.0,0.13661999999999352
SEET(FCI/GF2),trail,FeO,vtz,0.14860000000001605,0.0,0.1512400000000298
SEET(FCI/GF2),trail,FeO,vqz,0.148900000000026,0.0,0.155512200000004
SEET(FCI/GF2),trail,CuO,vdz,,,
SEET(FCI/GF2),trail,CuO,vtz,,,
SEET(FCI/GF2),trail,CuO,vqz,,,
SHCI,trail,ScO,vdz,0.2419399999999996,9.920146974717663e-06,0.2419399999999996
SHCI,trail,TiO,vdz,0.23945000000000505,7.137261379548882e-07,0.23945000000000505
SHCI,trail,VO,vdz,0.22684999999999889,2.73019463775021e-05,0.22684999999999889
