method,pseudopotential,system,basis,IP,IPerr,SHCIIP
CIC+Q,trail,V,vtz,,,
CIC+Q,trail,V,vqz,,,
CIC+Q,trail,Cr,vdz,0.2343180000000018,0.0,0.23962000000000216
CIC+Q,trail,Cr,vtz,0.23908199999999624,0.0,0.24793999999998562
CIC+Q,trail,Cr,vqz,0.23916799999999228,0.0,0.2489399999999904
CIC+Q,trail,Cr,v5z,0.23905200000000093,0.0,0.24904999999999688
CIC+Q,trail,Mn,vdz,0.26697599999999966,0.0,0.26890000000000214
CIC+Q,trail,Mn,vtz,0.26820299999998554,0.0,0.2715199999999953
CIC+Q,trail,Mn,vqz,0.2684070000000105,0.0,0.27228999999999814
CIC+Q,trail,Mn,v5z,0.2685960000000023,0.0,0.2725799999999907
CIC+Q,trail,Fe,vtz,0.2848370000000102,0.0,0.28863000000001193
CIC+Q,trail,Fe,vqz,0.285160999999988,0.0,0.289660000000012
CIC+Q,trail,Fe,vdz,0.28243900000001076,0.0,0.2845800000000054
CIC+Q,trail,Fe,v5z,0.285412000000008,0.0,0.28996999999999673
CIC+Q,trail,Cu,vdz,0.2629129999999975,0.0,0.26966999999999075
CIC+Q,trail,Cu,vtz,0.27201100000002043,0.0,0.2815999999999974
CIC+Q,trail,Cu,vqz,0.27245300000001293,0.0,0.28298999999998387
CIC+Q,trail,Cu,v5z,0.2727469999999812,0.0,0.28356999999999744
AFQMC(MD),trail,Sc,vdz,0.23939999999999628,0.0013,0.24002000000000123
AFQMC(MD),trail,Sc,vtz,0.24160000000000537,0.0012649110640673515,0.2408099999999962
AFQMC(MD),trail,Sc,vqz,0.24190000000000111,0.0013416407864998738,0.24089000000000027
AFQMC(MD),trail,Sc,v5z,0.23990000000000578,0.0012083045973594571,0.24098000000000042
AFQMC(MD),trail,Ti,vdz,0.24800000000000466,0.0010816653826391967,0.24903000000000475
AFQMC(MD),trail,Ti,vtz,0.2518999999999991,0.001,0.2503899999999959
AFQMC(MD),trail,Ti,vqz,0.25159999999999627,0.0010630145812734648,0.25043999999999755
AFQMC(MD),trail,Ti,v5z,0.25039999999999907,0.0012727922061357855,0.2507000000000019
AFQMC(MD),trail,V,vdz,0.24890000000000612,0.0012041594578792295,0.24926999999999566
AFQMC(MD),trail,V,vtz,0.24869999999999948,0.001414213562373095,0.24943000000000382
AFQMC(MD),trail,V,vqz,0.24729999999999563,0.0014866068747318507,0.24819000000000813
AFQMC(MD),trail,V,v5z,0.2477000000000089,0.0015556349186104045,0.24801000000000784
AFQMC(MD),trail,Cr,vdz,0.2411999999999921,0.001140175425099138,0.23962000000000216
AFQMC(MD),trail,Cr,vtz,0.24689999999999657,0.0016278820596099706,0.24793999999998562
AFQMC(MD),trail,Cr,vqz,0.24989999999999668,0.0016278820596099706,0.2489399999999904
AFQMC(MD),trail,Cr,v5z,0.24859999999999616,0.0017691806012954132,0.24904999999999688
AFQMC(MD),trail,Mn,vdz,0.2685999999999922,0.0012041594578792295,0.26890000000000214
AFQMC(MD),trail,Mn,vtz,0.2715000000000032,0.0013601470508735444,0.2715199999999953
AFQMC(MD),trail,Mn,vqz,0.2723000000000013,0.0013601470508735444,0.27228999999999814
AFQMC(MD),trail,Mn,v5z,0.27299999999999613,0.0014422205101855955,0.2725799999999907
AFQMC(MD),trail,Fe,vdz,0.2831999999999937,0.0012806248474865698,0.2845800000000054
AFQMC(MD),trail,Fe,vtz,0.2890000000000015,0.0014866068747318507,0.28863000000001193
AFQMC(MD),trail,Fe,vqz,0.2901999999999987,0.0016278820596099706,0.289660000000012
AFQMC(MD),trail,Fe,v5z,0.2901000000000096,0.001979898987322333,0.28996999999999673
AFQMC(MD),trail,Cu,vdz,0.26370000000000005,0.00191049731745428,0.26966999999999075
AFQMC(MD),trail,Cu,vtz,0.2732000000000028,0.0020248456731316584,0.2815999999999974
AFQMC(MD),trail,Cu,vqz,0.2757000000000005,0.0021260291625469297,0.28298999999998387
AFQMC(MD),trail,Cu,v5z,0.27600000000001046,0.0025612496949731396,0.28356999999999744
iFCIQMC,trail,Cr,vdz,0.23951999999999884,4.1349486091123306e-05,0.23962000000000216
iFCIQMC,trail,Cu,vdz,0.27030600000000504,0.00012993598423839334,0.26966999999999075
iFCIQMC,trail,Ti,vdz,0.24850099999999742,7.045963383384843e-05,0.24903000000000475
iFCIQMC,trail,Mn,vdz,0.2687159999999835,5.7745043077306645e-05,0.26890000000000214
iFCIQMC,trail,Fe,vdz,0.28449799999999925,5.6620675552310405e-05,0.2845800000000054
